series_encounter,PA,games,AB,H,BB,HBP,SO,HR,AVG,OBP,SLG,OPS,K_pct,BB_pct,HR_pct,wOBA,wOBA_95_low,wOBA_95_high,RV_per_PA,RV_per_PA_95_low,RV_per_PA_95_high
1,3014,101,2649,724,290,74,493,86,0.2733106832767082,0.3611018918021905,0.4360135900339751,0.7971154818361657,0.16357000663570007,0.0962176509621765,0.028533510285335104,0.35559707554972864,0.3350945720245858,0.37609957907487146,0.0013297893313043705,-0.01836538979832847,0.02102496846093721
2,1866,101,1674,472,148,44,256,71,0.2819593787335723,0.3558413719185423,0.472520908004779,0.8283622799233212,0.13719185423365488,0.07931404072883172,0.03804930332261522,0.36318048550863086,0.3391252818698524,0.3872356891474093,0.011020887483155845,-0.011516580257652016,0.03355835522396371
3,882,94,797,213,67,18,119,34,0.2672521957340025,0.3378684807256236,0.4491844416562108,0.7870529223818343,0.1349206349206349,0.07596371882086168,0.03854875283446712,0.3460987941747648,0.30732000366897955,0.38487758468055006,-0.0016054652109597728,-0.03680401957668714,0.0335930891547676
4,328,52,293,93,29,6,43,13,0.3174061433447099,0.3902439024390244,0.5085324232081911,0.8987763256472155,0.13109756097560976,0.08841463414634146,0.039634146341463415,0.394643107379674,0.323226109269742,0.466060105489606,0.05075314664547453,-0.01847455263643249,0.11998084592738154
5+,102,25,92,24,9,1,10,2,0.2608695652173913,0.3333333333333333,0.391304347826087,0.7246376811594203,0.09803921568627451,0.08823529411764706,0.0196078431372549,0.3263380948606214,0.26059156339718936,0.3920846263240534,-0.021858102650292748,-0.09906572393759752,0.05534951863701202
