innings,PA,games,AB,H,BB,HBP,SO,HR,AVG,OBP,SLG,OPS,K_pct,BB_pct,HR_pct,wOBA,wOBA_95_low,wOBA_95_high,RV_per_PA,RV_per_PA_95_low,RV_per_PA_95_high
1-2,1919,101,1672,462,195,52,308,57,0.27631578947368424,0.36946326211568525,0.4479665071770335,0.8174297692927188,0.16050026055237102,0.10161542470036478,0.0297029702970297,0.3635366631906307,0.3389045361859915,0.38816879019526995,0.01063568982575961,-0.013315318461450343,0.03458669811296956
3-4,1897,101,1681,490,172,44,232,63,0.2914931588340274,0.37216657880864523,0.47055324211778704,0.8427198209264323,0.12229836584080127,0.09066947812335266,0.033210332103321034,0.37309726593476467,0.3480159640338492,0.3981785678356801,0.019468577309760666,-0.003638125573651778,0.04257528019317311
5+,2376,101,2152,574,176,47,381,86,0.266728624535316,0.33557894736842103,0.4409851301115242,0.7765640774799452,0.16035353535353536,0.07407407407407407,0.0361952861952862,0.3417097981618297,0.3202293655995555,0.36319023072410395,-0.008319584819364154,-0.02789594579170906,0.011256776152980753
