encounter,PA,games,AB,H,BB,HBP,SO,HR,AVG,OBP,SLG,OPS,K_pct,BB_pct,HR_pct,wOBA,wOBA_95_low,wOBA_95_high,RV_per_PA,RV_per_PA_95_low,RV_per_PA_95_high
1,3843,101,3376,921,372,94,610,113,0.2728080568720379,0.3610098906819365,0.4377962085308057,0.7988060992127421,0.15873015873015872,0.09679937548790007,0.029404111371324485,0.35615359800378,0.3387390464103337,0.3735681495972263,0.00333562889612582,-0.012986405506591303,0.019657663298842942
2,1760,101,1589,450,129,42,237,67,0.28319697923222154,0.3528409090909091,0.473253618628068,0.8260945277189771,0.13465909090909092,0.07329545454545454,0.03806818181818182,0.3621742460613669,0.3374814568010004,0.3868670353217334,0.009169638799412422,-0.014272113085481198,0.032611390684306046
3,504,74,463,130,35,6,65,21,0.28077753779697623,0.3392857142857143,0.46220302375809935,0.8014887380438136,0.12896825396825398,0.06944444444444445,0.041666666666666664,0.35053886483548424,0.294657582457888,0.4064201472130805,0.005681689227885756,-0.044477880267895134,0.055841258723666645
4+,85,22,77,25,7,1,9,5,0.3246753246753247,0.38823529411764707,0.5844155844155844,0.9726508785332315,0.10588235294117647,0.08235294117647059,0.058823529411764705,0.4084165637600299,0.2877128299556539,0.5291202975644058,0.06768810465656042,-0.05065214852459313,0.18602835783771396
