prior_series_game_encounters,PA,games,AB,H,BB,HBP,SO,HR,AVG,OBP,SLG,OPS,K_pct,BB_pct,HR_pct,wOBA,wOBA_95_low,wOBA_95_high,RV_per_PA,RV_per_PA_95_low,RV_per_PA_95_high
0,5063,101,4512,1249,436,114,768,169,0.27681737588652483,0.35539312524693795,0.4516843971631206,0.8070775224100586,0.15168872210152085,0.08611495160971756,0.0333794193166107,0.35665136900958044,0.34038816978935504,0.37291456822980584,0.004441469111004893,-0.010550818583932565,0.01943375680594235
1-2,914,51,801,229,86,27,126,31,0.2858926342072409,0.3741794310722101,0.4681647940074906,0.8423442250797006,0.13785557986870897,0.09409190371991247,0.03391684901531729,0.37347917428595023,0.34425293415447455,0.4027054144174259,0.018082577974665597,-0.009540806165589714,0.04570596211492091
3+,215,29,192,48,21,2,27,6,0.25,0.3302325581395349,0.3958333333333333,0.7260658914728682,0.12558139534883722,0.09767441860465116,0.027906976744186046,0.3268872174304908,0.2404499339186069,0.4133245009423747,-0.006698548727547369,-0.09004538098234084,0.0766482835272461
