tto_bf9,PA,games,AB,H,BB,HBP,SO,HR,AVG,OBP,SLG,OPS,K_pct,BB_pct,HR_pct,wOBA,wOBA_95_low,wOBA_95_high,RV_per_PA,RV_per_PA_95_low,RV_per_PA_95_high
1,3774,101,3310,910,369,94,596,113,0.27492447129909364,0.36390140471773125,0.4416918429003021,0.8055932476180334,0.1579226285108638,0.09777424483306836,0.02994170641229465,0.3589161931240137,0.34165458497930556,0.3761778012687218,0.005124732268068764,-0.010955803911531812,0.021205268447669342
2,1797,101,1624,453,131,42,242,66,0.2789408866995074,0.34835837506956036,0.46551724137931033,0.8138756164488707,0.13466889259877574,0.07289927657206455,0.03672787979966611,0.3573032362529944,0.33294664286162917,0.3816598296443597,0.006779234166335004,-0.01665597397587505,0.030214442308545055
3,536,73,494,138,36,6,74,22,0.2793522267206478,0.3358208955223881,0.4574898785425101,0.7933107740648981,0.13805970149253732,0.06716417910447761,0.041044776119402986,0.3473200814209267,0.2914119828179743,0.40322818002387906,0.0005558472556647216,-0.05002919546031631,0.05114088997164576
4+,85,22,77,25,7,1,9,5,0.3246753246753247,0.38823529411764707,0.5844155844155844,0.9726508785332315,0.10588235294117647,0.08235294117647059,0.058823529411764705,0.4084165637600299,0.2877128299556539,0.5291202975644058,0.06768810465656042,-0.05065214852459313,0.18602835783771396
