season_encounter,PA,games,AB,H,BB,HBP,SO,HR,AVG,OBP,SLG,OPS,K_pct,BB_pct,HR_pct,wOBA,wOBA_95_low,wOBA_95_high,RV_per_PA,RV_per_PA_95_low,RV_per_PA_95_high
2025-1,2049,50,1808,511,195,46,308,57,0.28263274336283184,0.36700829673011226,0.439712389380531,0.8067206861106433,0.15031722791605662,0.0951683748169839,0.027818448023426062,0.3619164373532503,0.3397796103811995,0.38405326432530107,0.006834967158722549,-0.013719650508267615,0.027389584825712715
2025-2,863,50,773,223,64,26,115,34,0.2884864165588616,0.3626882966396292,0.47736093143596375,0.8400492280755929,0.1332560834298957,0.07415990730011587,0.039397450753186555,0.36921567857386206,0.3334820954583626,0.4049492616893615,0.013538715469630898,-0.018874917000012474,0.04595234793927427
2025-3+,239,32,220,75,18,1,29,13,0.3409090909090909,0.39330543933054396,0.5545454545454546,0.9478508938759985,0.12133891213389121,0.07531380753138076,0.05439330543933055,0.411573400403808,0.32725340217236865,0.4958933986352474,0.048396163799521996,-0.03141480275129113,0.12820713035033512
2026-1,1794,51,1568,410,177,48,302,56,0.2614795918367347,0.35415504740658116,0.43558673469387754,0.7897417821004586,0.16833890746934224,0.09866220735785954,0.03121516164994426,0.34955645156011583,0.32213313983345787,0.3769797632867738,-0.0006611069456025505,-0.026656956194463993,0.025334742303258894
2026-2,897,51,816,227,65,16,122,33,0.27818627450980393,0.3433667781493868,0.4693627450980392,0.8127295232474261,0.13600891861761427,0.07246376811594203,0.03678929765886288,0.355400309309123,0.3210559294729885,0.38974468914525745,0.004966168156827646,-0.02909852874346871,0.039030865057124005
2026-3+,350,42,320,80,24,6,45,13,0.25,0.3142857142857143,0.428125,0.7424107142857143,0.12857142857142856,0.06857142857142857,0.037142857142857144,0.322529603688856,0.2713050862729265,0.37375412110478556,-0.008427493946924857,-0.05455713328567875,0.037702145391829034
