ambiguous_position_games,confirmed_defensive_innings,confirmed_defensive_outs,coverage_status,fielding_mentions,player,player_key,position,position_game_labels,season,team
1,0.0,0,position_label_only_no_defensive_innings,0,Erin Coffel,erincoffel,SS,1,2025,AUSL Bandits
19,0.0,0,position_label_only_no_defensive_innings,67,Hannah Flippen,hannahflippen,SS,19,2025,AUSL Talons
14,0.0,0,position_label_only_no_defensive_innings,54,Jadelyn Allchin,jadelynallchin,LF,14,2025,AUSL Talons
13,14.0,42,confirmed_clean_team_games_only,48,Jessi Warren,jessiwarren,3B,15,2025,AUSL Volts
1,0.0,0,position_label_only_no_defensive_innings,0,Jessi Warren,jessiwarren,SS,1,2025,AUSL Volts
10,14.0,42,confirmed_clean_team_games_only,7,Jordan Roberts,jordanroberts,C,12,2025,AUSL Bandits
5,13.333333333333334,40,confirmed_clean_team_games_only,17,Kalei Harding,kaleiharding,RF,7,2025,AUSL Blaze
13,13.333333333333334,40,confirmed_clean_team_games_only,1,Kayla Kowalik,kaylakowalik,C,15,2025,AUSL Blaze
1,0.0,0,position_label_only_no_defensive_innings,3,Kayla Kowalik,kaylakowalik,CF,1,2025,AUSL Blaze
1,0.0,0,position_label_only_no_defensive_innings,0,Kayla Kowalik,kaylakowalik,RF,1,2025,AUSL Blaze
1,0.0,0,position_label_only_no_defensive_innings,0,Kelly Torres,kellytorres,1B,1,2025,AUSL Bandits
3,0.0,0,position_label_only_no_defensive_innings,2,Kelsey Stewart-Hunter,kelseystewarthunter,1B,3,2025,AUSL Volts
17,13.333333333333334,40,confirmed_clean_team_games_only,92,Korbe Otis,korbeotis,LF,19,2025,AUSL Blaze
6,8.0,24,confirmed_clean_team_games_only,3,Mary Iakopo,maryiakopo,C,7,2025,AUSL Bandits
3,0.0,0,position_label_only_no_defensive_innings,0,Mary Iakopo,maryiakopo,C,3,2025,AUSL Volts
1,0.0,0,position_label_only_no_defensive_innings,5,Maya Brady,mayabrady,CF,1,2025,AUSL Talons
2,0.0,0,position_label_only_no_defensive_innings,2,Maya Brady,mayabrady,LF,2,2025,AUSL Talons
3,13.333333333333334,40,confirmed_clean_team_games_only,15,McKenzie Clark,mckenzieclark,CF,5,2025,AUSL Blaze
9,0.0,0,position_label_only_no_defensive_innings,34,McKenzie Clark,mckenzieclark,CF,9,2025,AUSL Volts
7,0.0,0,position_label_only_no_defensive_innings,15,McKenzie Clark,mckenzieclark,RF,7,2025,AUSL Blaze
5,0.0,0,position_label_only_no_defensive_innings,8,Mia Scott,miascott,3B,5,2025,AUSL Volts
1,0.0,0,position_label_only_no_defensive_innings,1,Mia Scott,miascott,RF,1,2025,AUSL Volts
0,7.0,21,confirmed_clean_team_games_only,2,Michaela Edenfield,michaelaedenfield,1B,1,2025,AUSL Volts
7,0.0,0,position_label_only_no_defensive_innings,0,Michaela Edenfield,michaelaedenfield,C,7,2025,AUSL Volts
2,0.0,0,position_label_only_no_defensive_innings,0,Miranda Stoddard,mirandastoddard,1B,2,2025,AUSL Volts
1,0.0,0,position_label_only_no_defensive_innings,0,Miranda Stoddard,mirandastoddard,C,1,2025,AUSL Volts
13,15.0,45,confirmed_clean_team_games_only,52,Morgan Zerkle,morganzerkle,CF,15,2025,AUSL Bandits
3,7.0,21,confirmed_clean_team_games_only,19,Morgan Zerkle,morganzerkle,LF,4,2025,AUSL Bandits
1,0.0,0,position_label_only_no_defensive_innings,1,Paige Sinicki,paigesinicki,3B,1,2025,AUSL Talons
6,0.0,0,position_label_only_no_defensive_innings,2,Rachel Garcia,rachelgarcia,1B,6,2025,AUSL Volts
2,0.0,0,position_label_only_no_defensive_innings,0,Sam Show,samshow,1B,2,2025,AUSL Volts
4,0.0,0,position_label_only_no_defensive_innings,7,Savannah Jaquish,savannahjaquish,3B,4,2025,AUSL Talons
3,0.0,0,position_label_only_no_defensive_innings,0,Savannah Jaquish,savannahjaquish,C,3,2025,AUSL Talons
18,0.0,0,position_label_only_no_defensive_innings,7,Sharlize Palacios,sharlizepalacios,C,18,2025,AUSL Talons
13,14.0,42,confirmed_clean_team_games_only,49,Sierra Romero,sierraromero,2B,15,2025,AUSL Volts
5,0.0,0,position_label_only_no_defensive_innings,9,Sierra Romero,sierraromero,RF,5,2025,AUSL Volts
16,0.0,0,position_label_only_no_defensive_innings,45,Sierra Sacco,sierrasacco,CF,16,2025,AUSL Talons
5,0.0,0,position_label_only_no_defensive_innings,13,Sierra Sacco,sierrasacco,LF,5,2025,AUSL Talons
12,14.0,42,confirmed_clean_team_games_only,33,Sis Bates,sisbates,SS,14,2025,AUSL Volts
16,22.0,66,confirmed_clean_team_games_only,54,Skylar Wallace,skylarwallace,SS,19,2025,AUSL Bandits
