player_key,player,teams,pitching_outs,H_allowed,R_allowed,ER,BB_allowed,SO_pitching,G,GS,IP,RA7,batters_faced_from_play_by_play,opponent_expected_RA7,opponent_strength_adjustment_runs,pitching_runs_above_average_raw,pitching_runs_above_average,pitching_replacement_runs,pitching_war,ra7_pitching_runs_above_average,pitcher_range_runs,pitcher_arm_runs,pitcher_defense_runs,pitcher_defense_war,pitcher_war,ERA,FIP,ERA_minus_FIP,FIP_BF,FIP_HR,FIP_BB,FIP_HBP,FIP_SO
taylormcquillin,Taylor McQuillin,Chicago Bandits,41,18,11,10,7,10,6,3,13.666666666666666,5.634146341463415,65,4.728078010156732,-0.18820686936580328,-1.7689905515987616,-1.635144942992366,1.913528929435779,0.027194660308535394,-1.7704106388963752,-0.11832693277730447,-0.01693876312670488,-0.13526569590400933,-0.013213779637626205,0.013980880670909189,5.121951219512195,5.490266158700235,-0.36831493918804004,65,4,7,1,10
bricopeland,Bri Copeland,Chicago Bandits,18,12,8,7,3,2,4,1,6.0,9.333333333333332,36,4.6967031403466315,-0.1095201516145506,-3.9742544511314577,-3.9412008051983225,0.8400858714596102,-0.3029404394921725,-3.9748779040913855,-0.03675644196781644,0.0030793430747532726,-0.03367709889306317,-0.0032898345780387334,-0.3062302740702112,8.166666666666668,10.081052066559312,-1.9143853998926446,36,4,3,1,2
emileykennedy,Emiley Kennedy,Chicago Bandits,6,3,2,2,0,3,2,0,2.0,7.0,6,4.23190548640869,-0.16930604690140502,-0.7908841467403744,-0.7910919643936838,0.2800286238198701,-0.049924545303812844,-0.7910919643936838,0.0,0.0,0.0,0.0,-0.049924545303812844,7.0,-0.03005904455179831,7.030059044551798,6,0,0,0,3
nijareecanady,NiJaree Canady,Texas Volts,52,27,18,17,11,7,5,4,17.333333333333332,7.26923076923077,91,4.8140677069433435,-0.025774527059700535,-6.07945139233077,-6.201584758346825,2.4269147397722075,-0.3687384114416922,-6.081252478659451,0.11394858430298102,0.006383695384393342,0.12033227968737437,0.011754970219578336,-0.3569834412221139,6.865384615384616,7.059684545191791,-0.19429992980717525,91,6,11,3,7
aliyahbinford,Aliyah Binford,Texas Volts,84,26,12,10,8,17,12,1,28.0,3.0,122,5.07942601918372,1.0197974744804519,8.31770407673488,8.610856118792647,3.920400733478181,1.2241482625861546,8.314794629588551,-0.12115964162984312,-0.17490184757425328,-0.2960614892040964,-0.02892153292366586,1.1952267296624888,2.5,3.525496511003757,-1.025496511003757,122,3,8,5,17
mariahlopez,Mariah Lopez,Chicago Bandits,23,14,14,11,3,4,3,1,7.666666666666667,12.782608695652174,39,4.966370737402426,0.15540780939489648,-8.560641573321153,-8.490309708451383,1.0734430579761687,-0.7245358172007407,-8.561438207658838,-0.061095740400526004,-0.0100327588069291,-0.0711284992074551,-0.00694837156014309,-0.7314841887608837,10.043478260869565,6.361245303274288,3.682232957595277,39,3,3,0,4
amberfiser,Amber Fiser,Chicago Bandits,90,26,20,12,9,20,8,5,30.0,4.666666666666666,136,4.830808083617059,0.027134713086223172,0.7034632155016851,0.6067199679070874,4.200429357298051,0.46959882506723155,0.7003459507020455,0.10211942332981022,-0.008493440534852115,0.09362598279495811,0.009146096478790151,0.4787449215460217,2.8000000000000003,4.11808910359635,-1.3180891035963493,136,5,9,6,20
odiccialexanderbennett,Odicci Alexander-Bennett,Chicago Bandits,24,8,3,3,1,1,3,1,8.0,2.625,34,4.981434847673996,0.17938079669758725,2.6930683973417096,2.638472875176009,1.1201144952794804,0.3671673363304796,2.692237126728472,0.05376425155246288,0.0,0.05376425155246288,0.005252100080868247,0.37241943641134784,2.625,6.192163177670424,-3.567163177670424,34,3,1,0,1
meganfaraimo,Megan Faraimo,Utah Talons,95,38,19,19,8,22,8,5,31.666666666666668,4.2,142,4.912692736151496,0.39907276813568765,3.2240861873520053,3.1530882936875795,4.43378654381461,0.7411435070141354,3.2207957411746078,0.062453423520537656,0.00525402396649044,0.06770744748702809,0.0066141772674916536,0.7477576842816271,4.2,3.482221657202588,0.7177783427974123,142,5,8,1,22
montanafouts,Montana Fouts,Utah Talons,138,29,12,12,8,42,8,6,46.0,1.826086956521739,177,4.832341628422948,0.05168414021852463,19.75538784392223,19.206879663785287,6.4406583478570125,2.505446138938158,19.750608037896114,0.7449305572144136,-0.20120218310358526,0.5437283741108283,0.05311551365782985,2.5585616525959876,1.826086956521739,1.5593129361245304,0.26677402039720866,177,1,8,1,42
kenziebrown,Kenzie Brown,Portland Cascade,66,20,15,13,15,23,5,5,22.0,4.7727272727272725,107,4.920516562041056,0.3018397217862664,0.464480623557604,0.37059627487441305,3.080314862018571,0.3371111870395695,0.46219462937120165,0.0915983544967886,0.0,0.0915983544967886,0.008948022359997754,0.34605920939956725,4.136363636363637,3.151759137266384,0.9846044990972529,107,1,15,4,23
carleyhoover,Carley Hoover,Portland Cascade,22,7,5,4,2,8,2,0,7.333333333333333,4.772727272727273,32,4.79247642150015,-0.03352404949505031,0.02068958442872797,0.07500015074379526,1.026771620672857,0.10762942741068758,0.019927586366593846,-0.05507256437720142,0.0,-0.05507256437720142,-0.00537990600570113,0.10224952140498646,3.818181818181819,2.6214561069633535,1.1967257112184653,32,1,2,0,8
kellymaxwell,Kelly Maxwell,Portland Cascade,47,22,16,15,10,12,6,5,15.666666666666666,7.148936170212767,83,4.802760490447465,-0.04860283454565157,-5.250964616617581,-5.277573890976719,2.193557553255649,-0.30127011888072747,-5.252592521568504,0.024981369408215073,0.0,0.024981369408215073,0.002440369734544842,-0.2988297491461826,6.702127659574469,3.8422813809801166,2.859846278594352,83,1,10,4,12
katsandercock,Kat Sandercock,Chicago Bandits,36,14,7,6,2,8,3,2,12.0,4.083333333333334,53,4.606658101701307,-0.37340322662108555,0.8971281743450972,0.8042829139284526,1.6801717429192204,0.2427003841281115,0.8958812684252413,0.0915983544967886,0.0,0.0915983544967886,0.008948022359997754,0.25164840648810927,3.5,3.5347557702630166,-0.03475577026301657,53,2,2,1,8
paytongottshall,Payton Gottshall,Portland Cascade,46,24,19,12,9,8,6,0,15.333333333333334,8.67391304347826,79,5.066505317205812,0.5301580316924489,-7.9019407337396474,-7.855506232583449,2.1468861159523374,-0.5576613327714205,-7.903534002415019,-0.11259358683560573,0.06456581700403514,-0.04802776983157059,-0.004691717015165225,-0.5623530497865857,5.478260869565217,5.143853998926463,0.3344068706387535,79,3,9,2,8
jessicamullins,Jessica Mullins,Texas Volts,35,14,16,14,10,13,7,2,11.666666666666666,9.6,63,4.787066385247281,-0.06235044219387771,-8.021556024587865,-7.9310837434298245,1.6335003056159088,-0.6151957393239643,-8.022768294232169,-0.09693857476883458,0.00525402396649044,-0.09168455080234414,-0.008956442669223802,-0.6241521819931881,8.4,7.1032742887815346,1.2967257112184658,63,5,10,1,13
rachelgarcia,Rachel Garcia,Texas Volts,86,37,29,17,24,26,8,5,28.666666666666668,7.0813953488372094,156,4.776213095719819,-0.1976507484078945,-9.440270179433123,-9.17039429304068,4.013743608084805,-0.5037407700735566,-9.443248899130555,-0.30691396701521373,0.034059360925338636,-0.2728546060898751,-0.026654508475981192,-0.5303952785495377,4.151162790697674,5.803274288781535,-1.652111498083861,156,7,24,6,26
jalawright,Jala Wright,Carolina Blaze,22,5,6,6,12,11,4,2,7.333333333333333,5.7272727272727275,42,4.946026023896605,0.12733743872980763,-0.8184489273464136,-0.8257536650154612,1.026771620672857,0.019636959330382685,-0.8192109254085478,0.006542739606913471,0.0,0.006542739606913471,0.0006391444542855539,0.02027610378466824,5.7272727272727275,4.106304591811838,1.6209681354608891,42,0,12,1,11
emmalemley,Emma Lemley,Carolina Blaze,28,15,11,9,5,3,5,1,9.333333333333334,8.25,48,4.8224377216334045,-0.0027185719069369916,-4.570083037822127,-4.549247754516362,1.3068002444927271,-0.31674687804383783,-4.57105285353757,-0.02358731977606021,0.0017822207548518552,-0.021805099021208356,-0.0021300875400614106,-0.3188769655838992,6.749999999999999,3.303274288781535,3.446725711218464,48,0,5,1,3
