player,sb_cs_attempts,sb_cs_runs,advancement_opportunities,runner_advancement_opportunities,batter_advancement_opportunities,non_steal_advancement_runs,batter_advancement_runs,runner_advancement_runs,baserunning_runs,teams,coverage,player_key
Mia Scott,0,0.2013267502164657,37,26,11,0.39998134907949306,0.0636760942814172,0.3363052547980759,0.6013080992959587,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,miascott
Bella Dayton,3,-1.6807017748045263,65,39,26,1.611898787384632,0.7893112594189815,0.8225875279656505,-0.06880298741989432,Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,belladayton
Jessi Warren,0,0.2653852616489775,39,24,15,-0.5234502767924691,0.3027029583497931,-0.8261532351422622,-0.2580650151434916,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,jessiwarren
Morgan Zerkle,1,0.08563163565100701,70,35,35,-0.09915985455642504,-0.044665621910630435,-0.0544942326457946,-0.013528218905418027,Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,morganzerkle
Danielle Gibson Whorton,0,0.4026535004329314,78,52,26,2.3990241154992606,1.5027364616512415,0.8962876538480191,2.801677615932192,Bandits|Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,daniellegibsonwhorton
Erika Piancastelli,0,0.08236094327037233,21,15,6,0.9213411553742542,0.6986401570030196,0.22270099837123458,1.0037020986446266,Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,erikapiancastelli
Sydney Romero,0,0.22878039797325647,54,39,15,-2.077729788515081,-1.226645765097786,-0.8510840234172949,-1.8489493905418244,Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sydneyromero
Baylee Klingler,0,0.30199012532469854,55,33,22,0.17654299338260981,-0.01442446786342317,0.19096746124603298,0.47853311870730836,Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,bayleeklingler
Kalei Harding,0,0.036604863675721036,4,3,1,-0.4120296554988783,-0.062433688463941775,-0.34959596703493656,-0.3754247918231573,Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,kaleiharding
Sydney McKinney,2,-0.6723851734417543,89,54,35,-3.9413011845295327,-3.568154626401512,-0.3731465581280209,-4.613686357971287,Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sydneymckinney
