player,sb_cs_attempts,sb_cs_runs,advancement_opportunities,runner_advancement_opportunities,batter_advancement_opportunities,non_steal_advancement_runs,batter_advancement_runs,runner_advancement_runs,baserunning_runs,teams,coverage,player_key
Mac Barbara,2,-1.3782722217620718,23,14,9,1.8481529815962001,1.5795027457735313,0.2686502358226688,0.46988075983412836,Chicago Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,macbarbara
Tianna Bell,0,0.041108035444925764,3,1,2,-0.0436566145646192,-0.04198493254860325,-0.0016716820160159532,-0.002548579119693438,Chicago Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,tiannabell
Devyn Netz,0,0.13154571342376245,22,16,6,1.0308568355333136,1.1357031098842978,-0.10484627435098415,1.1624025489570762,Carolina Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,devynnetz
Korbe Otis,2,-0.6395994050224343,38,23,15,-1.7360750721388551,-0.9588632243314001,-0.777211847807455,-2.375674477161289,Portland Cascade,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,korbeotis
Sarah Gordon,0,0.057551249622896074,14,8,6,0.2683017050198503,0.3997928300435598,-0.13149112502370952,0.3258529546427464,Utah Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sarahgordon
Aubrey Leach,0,0.18909696304665852,33,21,12,-0.8279526201949837,-0.47657717782264497,-0.35137544237233875,-0.6388556571483253,Carolina Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,aubreyleach
Dakota Kennedy,0,0.16443214177970306,33,20,13,-0.15279318700825803,-0.12608376637460048,-0.026709420633657555,0.011638954771445026,Carolina Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,dakotakennedy
Sahvanna Jaquish,0,0.18087535595767337,31,20,11,-0.9177531538734535,-0.5617533341689197,-0.35599981970453376,-0.7368777979157801,Utah Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sahvannajaquish
Ailana Agbayani,0,0.17265374886868823,36,22,14,1.594749768118216,1.6027426560548848,-0.007992887936668858,1.7674035169869042,Chicago Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,ailanaagbayani
Jessica Clements,0,0.09043767797883669,14,6,8,1.0192874928237396,0.9925595484233235,0.026727944400416148,1.1097251708025764,Chicago Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,jessicaclements
Erin Coffel,0,0.2713130339365101,46,33,13,1.8156547200689788,0.17356150285905103,1.6420932172099278,2.0869677540054887,Chicago Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,erincoffel
Kendra Falby,0,0.13154571342376245,23,13,10,1.4052380576808639,1.0937615778048,0.31147647987606386,1.5367837711046264,Portland Cascade,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,kendrafalby
Dejah Mulipola,0,0.06577285671188123,10,6,4,-0.36154191326891016,-0.2178305643582497,-0.14371134891066045,-0.29576905655702895,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,dejahmulipola
Kelly Torres,1,-0.8624969830203696,6,4,2,-0.21451933558264602,-0.019998463118063914,-0.1945208724645821,-1.0770163186030155,Portland Cascade,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,kellytorres
Mariah Mazon,0,0.0,0,0,0,0,0,0,0.0,,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,mariahmazon
Alyssa Brito,0,0.13154571342376245,24,17,7,-0.5255626524365947,-0.7782394046258092,0.2526767521892145,-0.3940169390128323,Carolina Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,alyssabrito
Caroline Jacobsen,1,-0.7802809121305181,7,6,1,0.11909065766957007,0.1365786269779584,-0.01748796930838832,-0.661190254460948,Utah Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,carolinejacobsen
Hannah Flippen,0,0.12332410633477729,27,20,7,-1.1369558573729994,-0.9281924150534684,-0.20876344231953103,-1.0136317510382222,Utah Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,hannahflippen
Sis Bates,0,0.17265374886868823,39,28,11,-2.360250681691498,-0.9591187642769805,-1.4011319174145176,-2.1875969328228098,Portland Cascade,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sisbates
Sierra Sacco-Ferrie,0,0.08221607088985153,15,12,3,-0.2396244335009253,-0.23524665177594084,-0.004377781724984459,-0.15740836261107377,Portland Cascade,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sierrasaccoferrie
Jayda Coleman,0,0.13154571342376245,25,14,11,0.5251834103558984,0.05587538096231237,0.46930802939358607,0.6567291237796609,Utah Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,jaydacoleman
Taryn Kern,0,0.09043767797883669,18,13,5,2.2851585757760517,1.5734188582079454,0.7117397175681064,2.3755962537548885,Chicago Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,tarynkern
Bubba Nickles-Camarena,0,0.17265374886868823,29,19,10,0.47159969424256515,0.1926422218781666,0.27895747236439855,0.6442534431112534,Oklahoma City Spark,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,bubbanicklescamarena
Sierra Romero,0,0.057551249622896074,10,8,2,-0.2923839847003729,-0.2454129575455895,-0.04697102715478341,-0.23483273507747685,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sierraromero
Karli Spaid,0,0.008221607088985153,1,1,0,0.04296041647555462,0,0.04296041647555462,0.05118202356453977,Carolina Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,karlispaid
Ally Carda,0,0.0,0,0,0,0,0,0,0.0,,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,allycarda
Billie Andrews,0,0.0,0,0,0,0,0,0,0.0,,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,billieandrews
Ali Newland,0,0.016443214177970306,3,2,1,-0.2262533664106944,-0.10036951063046437,-0.12588385578023004,-0.2098101522327241,Portland Cascade,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,alinewland
Aleshia Ocasio,0,0.12332410633477729,16,9,7,1.0437074087643068,1.2337131195210813,-0.19000571075677453,1.167031515099084,Carolina Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,aleshiaocasio
Amari Harper,0,0.1973185701356437,29,17,12,1.0418442878212386,0.9833668004561302,0.05847748736510838,1.2391628579568823,Oklahoma City Spark,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,amariharper
Aliyah Binford,1,-0.36658777771507534,23,15,8,-1.1726529397218135,-0.2393569795832511,-0.9332959601385624,-1.539240717436889,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,aliyahbinford
Leighann Goode,0,0.08221607088985153,20,13,7,-0.13281278535436747,-0.5405075540086122,0.4076947686542447,-0.05059671446451594,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,leighanngoode
Sarah Willis,0,0.0,0,0,0,0,0,0,0.0,,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sarahwillis
Michaela Edenfield,0,0.057551249622896074,14,10,4,1.0552907938635196,-0.10923642953865934,1.164527223402179,1.1128420434864157,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,michaelaedenfield
Rachel Garcia,0,0.041108035444925764,8,6,2,-0.01818141395879672,-0.19751303732618125,0.17933162336738454,0.022926621486129044,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,rachelgarcia
Haley Lee,0,0.12332410633477729,19,14,5,-1.8536527404090655,-0.8248258822669374,-1.028826858142128,-1.7303286340742883,Oklahoma City Spark,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,haleylee
Sharlize Palacios,0,0.12332410633477729,22,16,6,-0.8646478090323177,-0.1532899317172793,-0.7113578773150384,-0.7413237026975404,Utah Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sharlizepalacios
Grace Jenkins,0,0.11510249924579215,21,15,6,-0.45513955695556685,-1.0512904155790932,0.5961508586235263,-0.3400370577097747,Oklahoma City Spark,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,gracejenkins
Jaydyn Goodwin,0,0.13154571342376245,24,16,8,-0.7047600821985823,-0.6734942527757106,-0.031265829422871705,-0.5732143687748199,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,jaydyngoodwin
Reese Atwood,0,0.17265374886868823,32,22,10,0.911425269394476,0.9426317509598829,-0.03120648156540695,1.0840790182631643,Carolina Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,reeseatwood
Sami Williams,0,0.2795346410254952,42,26,16,0.3647243032366584,1.7740272837164144,-1.4093029804797559,0.6442589442621536,Chicago Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,samiwilliams
Jessi Warren,0,0.13154571342376245,22,13,9,-0.7541233020493993,-0.44688549223552754,-0.3072378098138717,-0.6225775886256368,Oklahoma City Spark,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,jessiwarren
Rachel Becker,0,0.041108035444925764,10,6,4,0.37518761516706334,0.2766109542028344,0.09857666096422896,0.4162956506119891,Utah Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,rachelbecker
Kailey Wyckoff,0,0.16443214177970306,38,25,13,1.9423156242678323,0.9456612279652251,0.9966543963026072,2.1067477660475356,Utah Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,kaileywyckoff
Jenna Laird,1,-0.35836617062609016,26,14,12,-1.7283778566726224,-1.0863353500520638,-0.6420425066205586,-2.0867440272987126,Carolina Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,jennalaird
Baylee Klingler,0,0.06577285671188123,14,8,6,0.13641654929391225,0.33919084275219746,-0.2027742934582852,0.2021894060057935,Carolina Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,bayleeklingler
Jocelyn Erickson,0,0.18909696304665852,32,21,11,1.5999024018691963,0.45220457280524706,1.1476978290639492,1.7889993649158549,Chicago Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,jocelynerickson
KK Madrey,1,-0.43448597269157724,0,0,0,0,0,0,-0.43448597269157724,,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,kkmadrey
Sydney McKinney,0,0.11510249924579215,21,10,11,-0.39152027859498695,-1.1520662032202005,0.7605459246252135,-0.2764177793491948,Oklahoma City Spark,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sydneymckinney
Ana Gold,0,0.1397673205127476,26,21,5,-1.2734624323675519,-0.6910926068009102,-0.5823698255666416,-1.1336951118548042,Carolina Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,anagold
Tiare Jennings,0,0.14798892760173277,23,14,9,-2.4441501640370347,-1.5293450061519682,-0.9148051578850664,-2.296161236435302,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,tiarejennings
Bri Ellis,0,0.18087535595767337,27,18,9,0.31087071690137663,0.5163677685309472,-0.2054970516295706,0.49174607285905003,Utah Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,briellis
McKenzie Clark,0,0.04932964253391092,8,7,1,0.6958293430071196,0.846143364060124,-0.1503140210530044,0.7451589855410305,Carolina Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,mckenzieclark
Sydney Sherrill,0,0.21376178431361398,29,17,12,0.6833883990221724,0.661317364888931,0.022071034133241407,0.8971501833357864,Oklahoma City Spark,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sydneysherrill
Sydney Stewart,0,0.18087535595767337,25,16,9,1.381309522658408,0.25636060467359023,1.1249489179848178,1.5621848786160815,Portland Cascade,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sydneystewart
Kenleigh Cahalan,0,0.14798892760173277,24,16,8,0.2200449485474793,0.4104699782167159,-0.19042502966923658,0.36803387614921207,Portland Cascade,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,kenleighcahalan
Elon Butler,0,0.057551249622896074,14,10,4,-0.7565061044997383,-0.34203377246376815,-0.41447233203597017,-0.6989548548768423,Chicago Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,elonbutler
Kelsey Stewart-Hunter,0,0.016443214177970306,6,5,1,-0.22729736390458272,-0.12891570060575006,-0.09838166329883266,-0.2108541497266124,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,kelseystewarthunter
Mia Davidson,0,0.04932964253391092,9,7,2,0.3368641155464921,0.2000109710948087,0.1368531444516834,0.386193758080403,Portland Cascade,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,miadavidson
Keirstin Roose,0,0.008221607088985153,3,2,1,0.06399103013099158,-0.09362195313273122,0.1576129832637228,0.07221263721997674,Oklahoma City Spark,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,keirstinroose
Makayla McClain,0,0.0,0,0,0,0,0,0,0.0,,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,makaylamcclain
Kayla Kowalik,0,0.13154571342376245,22,11,11,0.8097832477414076,0.9423942988606613,-0.13261105111925364,0.9413289611651701,Carolina Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,kaylakowalik
