player,sb_cs_attempts,sb_cs_runs,advancement_opportunities,runner_advancement_opportunities,batter_advancement_opportunities,non_steal_advancement_runs,batter_advancement_runs,runner_advancement_runs,baserunning_runs,teams,coverage,player_key
Kyleigh Sand,0,0.0,2,2,0,-0.04411266568104817,0,-0.04411266568104817,-0.04411266568104817,Chicago Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,kyleighsand
Skylar Wallace,1,-0.1661307351505519,25,15,10,-0.03171005785401902,0.24197817032259475,-0.27368822817661376,-0.19784079300457091,Chicago Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,skylarwallace
Valerie Cagle,0,0.057551249622896074,12,7,5,0.14143547392475136,0.21265468920103164,-0.07121921527628028,0.19898672354764743,Carolina Blaze,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,valeriecagle
Delanie Wisz,1,-0.7815822940390381,32,18,14,0.38295889787397736,0.14481004856118923,0.23814884931278812,-0.39862339616506076,Oklahoma City Spark,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,delaniewisz
Megan Grant,0,0.22198339140259912,28,22,6,0.5944855823005245,0.27093804172528163,0.3235475405752429,0.8164689737031237,Portland Cascade,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,megangrant
Danieca Coffey,1,-0.23190359186243314,21,13,8,-0.792183085880796,-0.6809168373939799,-0.1112662484868161,-1.0240866777432291,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,daniecacoffey
Jadelyn Allchin,0,0.2713130339365101,46,27,19,0.9668136255029821,0.2394785803376307,0.7273350451653514,1.2381266594394922,Utah Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,jadelynallchin
Kennedy Powell,0,0.11510249924579215,23,14,9,0.1819049839621983,0.15045652839654317,0.03144845556565515,0.2970074832079905,Portland Cascade,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,kennedypowell
Mary Iakopo,0,0.17265374886868823,20,10,10,-1.0923213764984263,-0.8989925934452264,-0.1933287830531999,-0.9196676276297381,Chicago Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,maryiakopo
Aliyah Andrews,0,0.21376178431361398,59,44,15,-1.786893276957686,-1.3148662199018675,-0.4720270570558185,-1.573131492644072,Utah Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,aliyahandrews
Jackie Lis,1,-0.17435234223953705,19,11,8,0.1886850477454974,0.9954019696556643,-0.8067169219101669,0.014332705505960358,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,jackielis
Maddie Moore,0,0.041108035444925764,8,6,2,0.12250790506819982,-0.2739746107733619,0.3964825158415617,0.16361594051312559,Utah Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,maddiemoore
Bri Copeland,2,-0.532912110004091,0,0,0,0,0,0,-0.532912110004091,,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,bricopeland
Tori Vidales,0,0.08221607088985153,16,10,6,0.4410303734940964,-0.0843080406959805,0.5253384141900769,0.523246444383948,Portland Cascade,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,torividales
Rylie Boone,1,-0.5645300498167025,42,22,20,-0.588397190854506,-0.45484484230828603,-0.13355234854622,-1.1529272406712086,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,rylieboone
Maya Brady,0,0.24664821266955458,43,31,12,-1.2116341522721372,-0.33634381512727,-0.8752903371448673,-0.9649859396025826,Oklahoma City Spark,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,mayabrady
Jordyn Rudd-Lee,0,0.02466482126695546,4,3,1,0.20647609474820253,0.17432646511671376,0.03214962963148876,0.231140916015158,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,jordynruddlee
Jordan Woolery,0,0.1562105346907179,39,25,14,1.7936384760146575,1.365364712924601,0.4282737630900566,1.9498490107053754,Utah Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,jordanwoolery
Jalia Lassiter,0,0.11510249924579215,19,14,5,-0.579515753237593,-0.29965580523836755,-0.2798599479992254,-0.46441325399180083,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,jalialassiter
Aminah Vega,0,0.14798892760173277,21,14,7,-0.7135905752313727,-0.23797825583980464,-0.47561231939156806,-0.5656016476296399,Texas Volts,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,aminahvega
Bella Dayton,1,-0.44395953333649296,38,25,13,-1.5191238756566796,-1.1696889056230937,-0.3494349700335859,-1.9630834089931726,Chicago Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,belladayton
Morgan Zerkle,0,0.2630914268475249,51,34,17,-0.031823079605035484,-0.6298004006392697,0.5979773210342342,0.2312683472424894,Chicago Bandits,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,morganzerkle
Tayler Biehl,1,-0.6376927029919321,14,10,4,-0.08950527758895183,0.030632326260309595,-0.12013760384926142,-0.7271979805808839,Utah Talons,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,taylerbiehl
Sydney Romero,0,0.2630914268475249,46,27,19,-0.1256482834100549,0.1475482282019397,-0.2731965116119946,0.13744314343747,Oklahoma City Spark,SB/CS plus non-forced hit/out advancement; WP/PB and forced advances excluded,sydneyromero
