player_key,player,teams,PA,woba_denom,obp_numerator,woba_raw_numerator,H,1B,2B,3B,HR,BB,IBB,HBP,SO,ROE,SF,SH,reach_opportunities,wOBA,OBP,batting_runs,team
sierrasaccoferrie,Sierra Sacco-Ferrie,Portland Cascade,27,27,9,7.540442707803321,4,2,1,1,0,3,0,2,2,0,0,0,10,0.2975347876374023,0.3333333333333333,-1.2639930469994167,Portland Cascade
korbeotis,Korbe Otis,Portland Cascade,57,57,21,20.739087262489193,16,11,1,1,3,3,0,2,9,3,0,0,25,0.38763184960698305,0.3684210526315789,2.1519451134611893,Portland Cascade
torividales,Tori Vidales,Portland Cascade,47,47,9,9.145571933695798,6,2,3,0,1,3,0,0,3,1,0,0,10,0.2073087735062573,0.19148936170212766,-6.180668083923783,Portland Cascade
aubreyleach,Aubrey Leach,Carolina Blaze,57,57,18,16.110115378664815,12,9,1,1,1,6,0,0,4,2,0,0,23,0.3011122785962094,0.3157894736842105,-2.477026770363189,Carolina Blaze
anagold,Ana Gold,Carolina Blaze,48,48,16,14.08416361277686,7,3,2,1,1,6,0,3,11,0,0,0,17,0.31260397372932375,0.3333333333333333,-1.5681666179835647,Carolina Blaze
jennalaird,Jenna Laird,Carolina Blaze,40,40,11,9.214006571833753,9,9,0,0,0,1,0,1,6,3,0,0,20,0.24541053178709354,0.275,-3.8296019537999344,Carolina Blaze
devynnetz,Devyn Netz,Carolina Blaze,39,39,13,12.81659020128363,8,4,2,0,2,3,0,2,6,0,0,0,16,0.3501164864625857,0.3333333333333333,0.09907188879078373,Carolina Blaze
sydneystewart,Sydney Stewart,Portland Cascade,46,46,20,16.17435272469224,9,8,0,0,1,8,0,3,11,1,0,0,22,0.37460515400567507,0.43478260869565216,1.1742029202134994,Portland Cascade
kennedypowell,Kennedy Powell,Portland Cascade,36,36,13,10.358797765941093,8,8,0,0,0,1,0,4,9,1,0,0,14,0.3065572022328206,0.3611111111111111,-1.380449907129225,Portland Cascade
kenleighcahalan,Kenleigh Cahalan,Portland Cascade,49,49,17,15.710170493991395,9,5,2,0,2,7,0,1,9,1,0,0,18,0.3415776830755722,0.3469387755102041,-0.26824994990987117,Portland Cascade
alyssabrito,Alyssa Brito,Carolina Blaze,46,46,15,13.836667397034065,8,5,1,0,2,5,0,2,7,1,0,0,16,0.320463329161747,0.32608695652173914,-1.1634824074446752,Carolina Blaze
kaylakowalik,Kayla Kowalik,Carolina Blaze,27,26,12,10.067432473040647,10,8,2,0,0,2,1,0,2,1,0,0,16,0.41252478582103436,0.46153846153846156,1.5890869313787497,Carolina Blaze
karlispaid,Karli Spaid,Carolina Blaze,3,3,1,0.6730922453929393,0,0,0,0,0,1,0,0,1,0,0,0,1,0.2390330772986422,0.3333333333333333,-0.3051783940295872,Carolina Blaze
mckenzieclark,McKenzie Clark,Carolina Blaze,19,19,4,2.6923689815717573,0,0,0,0,0,4,0,0,7,1,0,0,6,0.15096825934651087,0.21052631578947367,-3.503345068104244,Carolina Blaze
aleshiaocasio,Aleshia Ocasio,Carolina Blaze,40,40,13,11.03747494837658,8,6,1,1,0,5,0,0,7,0,0,0,15,0.2939777148572987,0.325,-2.006133577257108,Carolina Blaze
kellytorres,Kelly Torres,Portland Cascade,10,10,3,2.421517372908304,2,2,0,0,0,1,0,0,1,0,0,0,3,0.2579836954029187,0.3,-0.839384758500118,Portland Cascade
sisbates,Sis Bates,Portland Cascade,46,46,15,13.339135317800407,11,8,1,2,0,3,0,1,5,2,0,0,21,0.308940266425545,0.32608695652173914,-1.6610144866783347,Portland Cascade
kendrafalby,Kendra Falby,Portland Cascade,46,46,13,11.966852205734988,11,8,2,1,0,1,0,1,5,0,0,0,16,0.2771575833541002,0.2826086956521739,-3.0332975987437547,Portland Cascade
dakotakennedy,Dakota Kennedy,Carolina Blaze,48,48,17,16.514560774679104,13,9,2,0,2,2,0,2,11,2,0,0,20,0.3665476676141265,0.3541666666666667,0.8622305439186806,Carolina Blaze
rylieboone,Rylie Boone,Texas Volts,62,62,22,20.134864946081294,20,16,4,0,0,2,0,0,5,0,0,0,24,0.3459885300434482,0.3548387096774194,-0.08272826865092069,Texas Volts
jackielis,Jackie Lis,Texas Volts,38,38,13,10.609135690367552,6,4,2,0,0,7,0,0,7,2,0,0,18,0.29744116785410346,0.34210526315789475,-1.78229240898445,Texas Volts
aminahvega,Aminah Vega,Texas Volts,36,36,14,14.145422629872415,11,7,0,2,2,3,0,0,6,0,0,0,18,0.4186181913959353,0.3888888888888889,2.406174956802098,Texas Volts
tiarejennings,Tiare Jennings,Texas Volts,49,49,16,17.77203335122851,12,5,3,0,4,4,0,0,4,1,0,0,18,0.3864076445240491,0.32653061224489793,1.7936129073272453,Texas Volts
mayabrady,Maya Brady,Oklahoma City Spark,48,48,27,28.74149205514815,19,9,3,1,6,8,0,0,5,0,0,0,30,0.6379295834932195,0.5625,13.089161824387727,Oklahoma City Spark
sydneyromero,Sydney Romero,Oklahoma City Spark,62,62,26,28.094988144477792,22,12,4,1,5,2,0,2,6,3,0,0,32,0.4827717332957734,0.41935483870967744,7.877394929745575,Oklahoma City Spark
sydneysherrill,Sydney Sherrill,Oklahoma City Spark,56,56,22,21.059555197886134,14,7,5,0,2,7,0,1,7,0,0,0,26,0.40065063677166396,0.39285714285714285,2.798503261998969,Oklahoma City Spark
haleylee,Haley Lee,Oklahoma City Spark,46,46,11,8.534603267816745,4,3,1,0,0,7,0,0,17,1,0,0,15,0.1976651817810943,0.2391304347826087,-6.4655465366619955,Oklahoma City Spark
daniecacoffey,Danieca Coffey,Texas Volts,37,37,10,8.665992295882779,8,7,1,0,0,2,0,0,7,0,0,0,11,0.2495291255869521,0.2702702702702703,-3.3993455903283816,Texas Volts
jalialassiter,Jalia Lassiter,Texas Volts,47,47,13,12.516672520298995,8,5,0,1,2,4,0,1,7,0,0,0,14,0.2837237569585299,0.2765957446808511,-2.809567497320586,Texas Volts
rachelgarcia,Rachel Garcia,Texas Volts,16,16,5,3.7677018636941826,2,2,0,0,0,3,0,0,5,0,0,0,5,0.25087721361381504,0.3125,-1.449741546559292,Texas Volts
bubbanicklescamarena,Bubba Nickles-Camarena,Oklahoma City Spark,57,57,18,16.45930508830711,11,8,1,0,2,5,0,2,7,1,0,0,21,0.3076389425375483,0.3157894736842105,-2.1278370607208927,Oklahoma City Spark
jessiwarren,Jessi Warren,Oklahoma City Spark,41,41,13,12.892723542977672,10,7,1,0,2,1,0,2,2,1,0,0,16,0.3350159496582907,0.3170731707317073,-0.4769751957968566,Oklahoma City Spark
delaniewisz,Delanie Wisz,Oklahoma City Spark,58,58,23,26.174110050247094,18,7,4,1,6,5,0,0,7,3,0,0,28,0.4807824438846976,0.39655172413793105,7.260877688078249,Oklahoma City Spark
amariharper,Amari Harper,Oklahoma City Spark,49,49,23,19.77494832998655,12,8,3,0,1,4,0,7,5,1,0,0,24,0.42995593434707763,0.46938775510204084,3.7965278860852814,Oklahoma City Spark
gracejenkins,Grace Jenkins,Oklahoma City Spark,46,46,12,10.713663405397211,7,5,1,0,1,4,0,1,6,0,0,0,14,0.2481331771513072,0.2608695652173913,-4.286486399081528,Oklahoma City Spark
michaelaedenfield,Michaela Edenfield,Texas Volts,24,24,6,5.94685299404591,5,4,0,0,1,1,0,0,6,0,0,0,7,0.26398583944827547,0.25,-1.8793121213343027,Texas Volts
sierraromero,Sierra Romero,Texas Volts,38,38,7,7.321522850938667,4,2,0,0,2,3,0,0,11,0,0,0,7,0.20526858839508866,0.18421052631578946,-5.0699052484133365,Texas Volts
aliyahbinford,Aliyah Binford,Texas Volts,51,51,15,18.755994595973334,14,5,3,1,5,0,0,1,12,0,0,0,19,0.39180916720848186,0.29411764705882354,2.1253937257903823,Texas Volts
morganzerkle,Morgan Zerkle,Chicago Bandits,66,66,25,23.157799496889147,17,10,4,2,1,7,0,1,7,3,0,0,32,0.3738161188221984,0.3787878787878788,1.6358454295935638,Chicago Bandits
ailanaagbayani,Ailana Agbayani,Chicago Bandits,53,53,18,16.914505659352514,16,13,1,1,1,1,0,1,7,0,0,0,21,0.34000719725960304,0.33962264150943394,-0.3682756371121211,Chicago Bandits
erincoffel,Erin Coffel,Chicago Bandits,55,54,30,24.466080363500136,12,6,5,0,1,15,1,3,5,2,0,0,33,0.4826977876073734,0.5555555555555556,6.857208853894657,Chicago Bandits
jocelynerickson,Jocelyn Erickson,Chicago Bandits,55,55,18,14.778896205248689,10,8,2,0,0,6,0,2,6,1,0,0,23,0.2862753667418693,0.32727272727272727,-3.15606551749763,Chicago Bandits
tarynkern,Taryn Kern,Chicago Bandits,33,33,10,8.06244935524602,5,4,1,0,0,3,0,2,8,0,0,0,11,0.26029014773907727,0.30303030303030304,-2.698527678401773,Chicago Bandits
jessicaclements,Jessica Clements,Chicago Bandits,29,29,11,10.11679549446958,9,8,0,0,1,2,0,0,8,0,0,0,11,0.37166326975589864,0.3793103448275862,0.6601793133851562,Chicago Bandits
aliyahandrews,Aliyah Andrews,Utah Talons,66,65,25,20.050452194616863,16,14,1,1,0,9,1,0,5,0,0,0,26,0.32863626428481196,0.38461538461538464,-1.1454116595378787,Utah Talons
hannahflippen,Hannah Flippen,Utah Talons,38,38,12,10.364382702983642,8,6,1,1,0,4,0,0,3,0,0,0,15,0.29057919374726376,0.3157894736842105,-2.0270453963683606,Utah Talons
sahvannajaquish,Sahvanna Jaquish,Utah Talons,59,59,18,15.230681848949645,11,10,0,0,1,7,0,0,12,1,0,0,22,0.27502489329718577,0.3050847457627119,-4.008640726360043,Utah Talons
sharlizepalacios,Sharlize Palacios,Utah Talons,31,31,12,10.489187694111811,7,4,2,1,0,3,0,2,3,0,0,0,15,0.3604830368968414,0.3870967741935484,0.380391086745702,Utah Talons
jaydacoleman,Jayda Coleman,Utah Talons,29,29,13,13.044662825456012,12,8,3,0,1,1,0,0,2,0,0,0,16,0.47922507094489725,0.4482758620689655,3.5880466443715897,Utah Talons
maryiakopo,Mary Iakopo,Chicago Bandits,52,52,16,15.465235521064953,11,7,1,1,2,2,0,3,10,2,0,0,21,0.3168530302082223,0.3076923076923077,-1.491455562258841,Chicago Bandits
samiwilliams,Sami Williams,Chicago Bandits,64,64,32,35.645607293435795,24,8,8,1,7,6,0,2,10,0,0,0,34,0.5933770079794267,0.5,14.775833652421898,Chicago Bandits
belladayton,Bella Dayton,Chicago Bandits,38,38,14,12.037764581471544,13,13,0,0,0,0,0,1,3,0,0,0,19,0.33749467062774574,0.3684210526315789,-0.35366351788045836,Chicago Bandits
carolinejacobsen,Caroline Jacobsen,Utah Talons,42,41,8,8.672928307682033,4,0,1,1,2,4,0,0,8,0,0,0,13,0.2253650521265505,0.1951219512195122,-4.696770431092497,Utah Talons
jadelynallchin,Jadelyn Allchin,Utah Talons,64,64,27,26.93951112276349,23,14,5,2,2,3,0,1,7,0,0,0,33,0.4484503903906725,0.421875,6.069737481749592,Utah Talons
briellis,Bri Ellis,Utah Talons,38,37,21,21.017637574708736,13,5,3,1,4,7,1,1,7,1,0,0,22,0.6051831742814049,0.5675675675675675,8.952299688497577,Utah Talons
rachelbecker,Rachel Becker,Utah Talons,23,23,4,3.496850255030729,4,4,0,0,0,0,0,0,5,0,0,0,5,0.1619771932289792,0.17391304347826086,-4.003224647208641,Utah Talons
elonbutler,Elon Butler,Chicago Bandits,18,18,7,6.721667815960159,5,2,2,1,0,2,0,0,7,0,0,0,7,0.3978407005442562,0.3888888888888889,0.852043979425,Chicago Bandits
jaydyngoodwin,Jaydyn Goodwin,Texas Volts,41,41,11,10.142202743754313,7,3,3,1,0,2,0,2,3,2,0,0,16,0.2635439806414266,0.2682926829268293,-3.2274959950202162,Texas Volts
leighanngoode,Leighann Goode,Texas Volts,37,37,9,8.895597980354399,8,6,1,0,1,1,0,0,5,0,0,0,10,0.2561404060635361,0.24324324324324326,-3.1697399058567606,Texas Volts
megangrant,Megan Grant,Portland Cascade,52,48,22,21.29908401820789,11,2,2,0,7,11,4,0,6,2,0,0,27,0.4727421864686631,0.4583333333333333,5.646753787447465,Portland Cascade
reeseatwood,Reese Atwood,Carolina Blaze,45,45,18,21.22696598308184,15,7,1,1,6,3,0,0,2,2,0,0,21,0.5025509292254159,0.4,6.5529063917439405,Carolina Blaze
alinewland,Ali Newland,Portland Cascade,13,13,2,1.5473048091506216,1,1,0,0,0,1,0,0,4,0,0,0,2,0.12680523792019668,0.15384615384615385,-2.6918679616803267,Portland Cascade
valeriecagle,Valerie Cagle,Carolina Blaze,16,16,7,6.821065557803593,6,5,0,0,1,1,0,0,5,0,0,0,7,0.45418931298907766,0.4375,1.603622147550118,Carolina Blaze
bricopeland,Bri Copeland,Chicago Bandits,5,5,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,-1.6304510657042108,Chicago Bandits
maddiemoore,Maddie Moore,Utah Talons,20,20,5,4.093809158729624,2,1,1,0,0,3,0,0,7,0,0,0,5,0.2180731856106686,0.25,-2.427995104087219,Utah Talons
billieandrews,Billie Andrews,Oklahoma City Spark,10,10,0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,-3.2609021314084217,Oklahoma City Spark
tiannabell,Tianna Bell,Chicago Bandits,18,18,4,5.302246114759849,4,2,0,0,2,0,0,0,5,0,0,0,5,0.3138282590736439,0.2222222222222222,-0.5673777217753095,Chicago Bandits
jordanwoolery,Jordan Woolery,Utah Talons,51,51,19,16.582759004678575,14,11,3,0,0,5,0,0,10,0,0,0,19,0.3464106881880285,0.37254901960784315,-0.047841865504375636,Utah Talons
kaileywyckoff,Kailey Wyckoff,Utah Talons,49,49,19,16.18033638240656,12,9,3,0,0,5,0,2,6,1,0,0,20,0.3518002439884179,0.3877551020408163,0.20191593850529016,Utah Talons
taylerbiehl,Tayler Biehl,Utah Talons,29,29,7,6.61994523943885,5,4,0,0,1,2,0,0,4,0,0,0,10,0.24319859926394963,0.2413793103448276,-2.8366709416455733,Utah Talons
jordynruddlee,Jordyn Rudd-Lee,Texas Volts,7,7,3,2.2203060617722956,1,1,0,0,0,1,0,1,1,0,0,0,3,0.33792434042152864,0.42857142857142855,-0.062325430213599556,Texas Volts
mariahmazon,Mariah Mazon,Portland Cascade,2,2,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,-0.6521804262816844,Portland Cascade
sarahwillis,Sarah Willis,Utah Talons,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,-0.3260902131408422,Utah Talons
kkmadrey,KK Madrey,Oklahoma City Spark,5,5,0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,1,0.0,0.0,-1.6304510657042108,Oklahoma City Spark
sarahgordon,Sarah Gordon,Utah Talons,14,14,7,6.24438393020321,6,5,1,0,0,0,0,1,1,0,0,0,7,0.47518883934144696,0.5,1.6791209462314194,Utah Talons
macbarbara,Mac Barbara,Chicago Bandits,30,30,13,11.788996287519634,9,7,1,0,1,3,0,1,5,1,0,0,15,0.41865882130658205,0.43333333333333335,2.0062898932943685,Chicago Bandits
dejahmulipola,Dejah Mulipola,Texas Volts,24,24,8,6.515326531637928,4,3,1,0,0,4,0,0,6,0,0,0,8,0.28922086109344,0.3333333333333333,-1.310838583742284,Texas Volts
sydneymckinney,Sydney McKinney,Oklahoma City Spark,26,26,11,10.268552791405389,11,9,2,0,0,0,0,0,1,0,0,0,14,0.42076592540452296,0.4230769230769231,1.7902072497434924,Oklahoma City Spark
