player_key,player,teams,PA,IP,batting_runs,hitting_runs,wRAA,batting_war,baserunning_runs,baserunning_component_runs,baserunning_war,sb_cs_runs,non_steal_advancement_runs,runner_advancement_runs,batter_advancement_runs,advancement_opportunities,double_play_avoidance_runs,double_play_opportunities,range_runs,arm_runs,catcher_stolen_bases_allowed,catcher_caught_stealing,catcher_steal_attempts,catcher_cs_rate,catcher_throwing_runs,throwing_runs,defense_runs,defense_war,defensive_war,offensive_war,arm_opportunities,positional_adjustment_runs,league_adjustment_runs,position_replacement_runs,position_war,RA7,ERA,FIP,ERA_minus_FIP,FIP_BF,opponent_expected_RA7,pitching_runs_above_average,ra7_pitching_runs_above_average,pitching_war,pitcher_range_runs,pitcher_arm_runs,pitcher_defense_runs,pitcher_defense_war,pitcher_war,total_war,quality_flags
ailanaagbayani,Ailana Agbayani,Chicago Bandits,53,0.0,-0.3682756371121211,-0.3682756371121211,-0.3682756371121211,-0.03600772075010902,1.7674035169869042,2.3655435014574167,0.23128825596677055,0.17265374886868823,1.594749768118216,-0.007992887936668858,1.6027426560548848,36,0.5981399844705123,4,0.0,-0.22437235276475662,0,0,0,0.0,0.0,-0.22437235276475662,-0.22437235276475662,-0.021937745015532004,-0.021937745015532004,0.4067656280071784,19,0.0,0.030569142696910367,2.1324338373489136,0.38482788299164644,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38482788299164644,no_positional_adjustment
alanavawter,Alana Vawter,Oklahoma City Spark,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.833333333333334,5.833333333333334,5.783717151341961,0.04961618199137252,29,5.088218311953638,-0.6367731640560551,-0.6367731640560551,0.01965877653487524,0.0,0.0,0.0,0.0,0.01965877653487524,0.01965877653487524,no_positional_adjustment|no_reliever_leverage_adjustment
aleshiaocasio,Aleshia Ocasio,Carolina Blaze,40,14.666666666666666,-2.006133577257108,-2.006133577257108,-2.006133577257108,-0.19614736995295443,1.167031515099084,1.167031515099084,0.11410514480888906,0.12332410633477729,1.0437074087643068,-0.19000571075677453,1.2337131195210813,16,0.0,0,0.0,0.20209835613860797,0,0,0,0.0,0.0,0.20209835613860797,0.20209835613860797,0.019759930982563397,0.019759930982563397,0.07756916564123041,10,0.0,0.023071051092007824,1.6093840281878593,0.09732909662379381,4.772727272727273,4.772727272727273,5.0648619324867425,-0.2921346597594692,63,4.70425466371928,-0.12502907746534886,-0.1388296639931393,0.18802072270575518,0.0,-0.013800586527790466,-0.013800586527790466,-0.0013493362465600914,0.1866713864591951,0.2840004830829889,no_positional_adjustment|no_reliever_leverage_adjustment
alinewland,Ali Newland,Portland Cascade,13,0.0,-2.6918679616803267,-2.6918679616803267,-2.6918679616803267,-0.263194249341128,-0.2098101522327241,-0.2098101522327241,-0.02051394284828498,0.016443214177970306,-0.2262533664106944,-0.12588385578023004,-0.10036951063046437,3,0.0,0,0.0,0.005623461446730796,0,0,0,0.0,0.0,0.005623461446730796,0.005623461446730796,0.0005498273820411295,0.0005498273820411295,-0.23183449018419192,2,0.0,0.007498091604902543,0.5230498091610543,-0.2312846628021507,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2312846628021507,small_position_player_sample|no_positional_adjustment
aliyahandrews,Aliyah Andrews,Utah Talons,66,0.0,-1.1454116595378787,-1.1454116595378787,-1.1454116595378787,-0.11199128865535653,-1.573131492644072,-0.9015814845609602,-0.08815107777454251,0.21376178431361398,-1.786893276957686,-0.4720270570558185,-1.3148662199018675,59,0.6715500080831118,5,0.08347918380709964,-0.06082466526806621,0,0,0,0.0,0.0,-0.06082466526806621,0.022654518539033427,0.0022150191190446113,0.0022150191190446113,0.06321642836583899,20,0.0,0.038067234301812906,2.655483646509968,0.06543144748488358,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06543144748488358,no_positional_adjustment
aliyahbinford,Aliyah Binford,Texas Volts,51,30.666666666666668,2.1253937257903823,2.1253937257903823,2.1253937257903823,0.20780789183454518,-1.539240717436889,-1.539240717436889,-0.15049746530963443,-0.36658777771507534,-1.1726529397218135,-0.9332959601385624,-0.2393569795832511,23,0.0,0,0.0,0.0682866064414395,0,0,0,0.0,0.0,0.0682866064414395,0.0682866064414395,0.006676643274579026,0.006676643274579026,0.2608149497761628,12,0.0,0.029415590142309975,2.0519646359395205,0.2674915930507418,3.652173913043478,2.967391304347826,3.554651128797678,-0.5872598244498519,136,5.102921640866649,6.365351745300657,6.365351745300657,1.0410595479004203,0.0,0.0,0.0,0.0,1.0410595479004203,1.308551140951162,no_positional_adjustment|no_reliever_leverage_adjustment
allycarda,Ally Carda,Texas Volts,1,14.666666666666666,-0.3260902131408422,-0.3260902131408422,-0.3260902131408422,-0.031883090139205185,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027892805369572796,0,0.0,0.0005767762773001956,0.040234600704696484,-0.027892805369572796,6.204545454545454,4.772727272727273,6.178498296123106,-1.4057710233958325,75,5.0544968305622096,-2.472144520134756,-2.4049889334650945,-0.041465751313101096,0.057013862853761886,0.01014172381589938,0.06715558666966126,0.0065660591359583,-0.034899692177142796,-0.06279249754671559,small_position_player_sample|no_positional_adjustment|no_reliever_leverage_adjustment
alyssabrito,Alyssa Brito,Carolina Blaze,46,0.0,-1.1634824074446752,-1.1634824074446752,-1.1634824074446752,-0.11375813494873607,-0.3940169390128323,-0.2397465186341471,-0.02344093614631628,0.13154571342376245,-0.5255626524365947,0.2526767521892145,-0.7782394046258092,24,0.1542704203786852,1,0.0,-0.6947184158733862,0,0,0,0.0,0.0,-0.6947184158733862,-0.6947184158733862,-0.06792528258151147,-0.06792528258151147,0.04635402830803778,26,0.0,0.026531708755808996,1.8507916324160383,-0.021571254273473697,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021571254273473697,no_positional_adjustment
alyssadenham,Alyssa Denham,Texas Volts,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.5,3.5,4.876309743934554,-1.376309743934554,24,5.318857346266797,1.5603033055553566,1.5609174367837957,0.23447536501400296,0.0,0.0006141312284391696,0.0006141312284391696,6.004596435149635e-05,0.23453541097835445,0.23453541097835445,no_positional_adjustment|no_reliever_leverage_adjustment
amariharper,Amari Harper,Oklahoma City Spark,49,0.0,3.7965278860852814,3.7965278860852814,3.7965278860852814,0.3712010846390608,1.2391628579568823,1.0265034601610667,0.10036517819191851,0.1973185701356437,1.0418442878212386,0.05847748736510838,0.9833668004561302,29,-0.21265939779581547,2,-0.14398795167773593,-0.3470758157777796,0,0,0,0.0,0.0,-0.3470758157777796,-0.4910637674555155,-0.04801318693707503,-0.04801318693707503,0.6670902165429666,14,0.0,0.028262037587709583,1.9714954345301277,0.6190770296058916,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6190770296058916,no_positional_adjustment
