player_key,player,catcher_stolen_bases_allowed,catcher_caught_stealing,catcher_innings,catcher_steal_attempts,catcher_cs_rate,catcher_throwing_runs_unshrunk,catcher_throwing_runs
sahvannajaquish,Sahvanna Jaquish,0,4,15.1,4,1.0,1.7581139331320252,0.2977203680035787
jordanroberts,Jordan Roberts,18,8,96.2,26,0.3076923076923077,0.792592346903782,0.4785459431483141
erikapiancastelli,Erika Piancastelli,0,0,7.0,0,0.0,0.0,0.0
tayloredwards,Taylor Edwards,12,6,64.2,18,0.3333333333333333,0.8214138867911923,0.41024699464712383
dejahmulipola,Dejah Mulipola,26,4,101.0,30,0.13333333333333333,-2.1760262614994743,-1.2703554132878754
delaniewisz,Delanie Wisz,0,0,8.0,0,0.0,0.0,0.0
kaylakowalik,Kayla Kowalik,20,2,91.2,22,0.09090909090909091,-2.1472047216120638,-1.0988686974338497
sharlizepalacios,Sharlize Palacios,14,16,155.0,30,0.5333333333333333,4.914072550803447,2.983703874093877
anagold,Ana Gold,0,0,0.0,0,0.0,0.0,0.0
michaelaedenfield,Michaela Edenfield,14,2,43.1,16,0.125,-1.2393262151586408,-0.5320061345886533
allyshipmanshrout,Ally Shipman-Shrout,0,0,6.0,0,0.0,0.0,0.0
maryiakopo,Mary Iakopo,18,0,84.1,18,0.0,-2.7236355193602684,-1.2689869345825153
abyvieira,Aby Vieira,0,0,1.0,0,0.0,0.0,0.0
