player_key,player,teams,PA,woba_denom,obp_numerator,woba_raw_numerator,H,1B,2B,3B,HR,BB,IBB,HBP,SO,ROE,SF,SH,reach_opportunities,wOBA,OBP,batting_runs,baserunning_runs,sb_cs_runs,non_steal_advancement_runs,runner_advancement_runs,batter_advancement_runs,sb_cs_attempts,advancement_opportunities,double_play_avoidance_runs,double_play_opportunities,actual_double_plays,expected_double_plays,range_runs,fielding_opportunities,arm_runs,arm_runs_unshrunk,arm_opportunities,catcher_stolen_bases_allowed,catcher_caught_stealing,catcher_steal_attempts,catcher_cs_rate,catcher_throwing_runs,throwing_runs,positional_adjustment_runs,league_adjustment_runs,position_replacement_runs,hitting_runs,wRAA,batting_war,baserunning_component_runs,baserunning_war,defense_runs,defense_war,defensive_war,offensive_war,position_war
victoriahayward,Victoria Hayward,Talons,33,33,6,5.370262359216793,5,4,1,0,0,1,0,0,3,0,0,0,8,0.17411724445729398,0.18181818181818182,-5.992356401931759,1.7956493373177023,0.07320972735144207,1.7224396099662602,0.6312402270524475,1.0911993829138127,0,14,0.19349151180478832,1,0,0.2920634920634921,0.0,14,0.16861393616681447,0.4897833383893182,21,0,0,0,0.0,0.0,0.16861393616681447,0.0,-0.0059942678162592114,1.3099426879800875,-5.992356401931759,-5.992356401931759,-0.5618876203258216,1.9891408491224907,0.18651654595277667,0.16861393616681447,0.015810488727940032,0.015810488727940032,-0.2531032341963031,-0.2372927454683631
sydneyromero,Sydney Romero,Talons,66,66,24,23.335025953259155,17,9,6,0,2,4,0,3,8,0,0,0,25,0.37828975071838783,0.36363636363636365,0.609788430962051,-1.8489493905418244,0.22878039797325647,-2.077729788515081,-0.8510840234172949,-1.226645765097786,0,54,0.0,0,0,0.0,0.2564356853689202,22,0.09257143734652147,0.2349890332642468,26,0,0,0,0.0,0.0,0.09257143734652147,0.0,-0.011988535632518423,2.619885375960175,0.609788430962051,0.609788430962051,0.057178269681193994,-1.8489493905418244,-0.17337115876811207,0.34900712271544165,0.03272548702145349,0.03272548702145349,0.12834279126656556,0.16106827828801903
sharlizepalacios,Sharlize Palacios,Talons,83,83,30,27.350915404690944,20,14,3,1,2,8,0,2,17,0,0,0,34,0.3525770144905648,0.3614457831325301,-1.2277923885008692,-2.490353690915093,0.3111413412436288,-2.801495032158722,-0.7285027748201722,-2.0729922573385497,0,52,-0.3306759954942615,2,1,0.5161531279178339,0.22896043336510727,22,0.19101342575940067,0.4544802199102982,29,14,16,30,0.5333333333333333,2.983703874093877,3.1747172998532776,0.0,-0.01507649178028832,3.2947043364347652,-1.2277923885008692,-1.2277923885008692,-0.11512688784774427,-2.8210296864093545,-0.264520591073999,3.4036777332183847,0.31915397776699933,0.31915397776699933,-0.07212533544690776,0.24702864232009156
morganzerkle,Morgan Zerkle,Bandits,105,105,45,49.795451438101466,42,24,9,0,9,3,0,0,10,2,0,0,49,0.5074118401380554,0.42857142857142855,13.641664470810618,-0.013528218905418027,0.08563163565100701,-0.09915985455642504,-0.0544942326457946,-0.044665621910630435,1,70,0.37700234120041265,2,0,0.5692743764172336,0.45073807100862195,34,0.29098933086600776,0.5616770805088057,39,0,0,0,0.0,0.0,0.29098933086600776,0.0,-0.019072670324461128,4.167999461754824,13.641664470810618,13.641664470810618,1.279143273974173,0.36347412229499465,0.03408201981452788,0.7417274018746297,0.06954984263543412,0.06954984263543412,1.7022593307146978,1.771809173350132
skylarwallace,Skylar Wallace,Bandits,93,93,42,42.0781008797189,32,20,6,0,6,5,0,5,7,1,0,0,48,0.48409812887076015,0.45161290322580644,10.05617528011844,-0.1149546498924337,0.43925836410865243,-0.5542130140010861,0.5118933844224414,-1.0661063984235275,0,71,-0.22805790111221594,3,1,0.6729846623964271,0.0,24,0.1499568275053379,0.4107513101233169,23,0,0,0,0.0,0.0,0.1499568275053379,0.0,-0.016892936573094142,3.691656666125701,10.05617528011844,10.05617528011844,0.9429413103505605,-0.34301255100464967,-0.03216339167739759,0.1499568275053379,0.014061060342041978,0.014061060342041978,1.255350922807617,1.269411983149659
bubbanicklescamarena,Bubba Nickles-Camarena,Bandits,93,93,26,28.81992114889826,20,10,3,0,7,5,0,1,9,1,0,0,31,0.331566054805221,0.27956989247311825,-3.2020044507022045,1.236268990814335,0.28368769348683803,0.9525812973274969,0.8714644373549071,0.08111685997258979,0,37,0.0,0,0,0.0,0.0,26,-0.40594796792277876,-0.8570012656147552,36,0,0,0,0.0,0.0,-0.40594796792277876,0.0,-0.016892936573094142,3.691656666125701,-3.2020044507022045,-3.2020044507022045,-0.3002436004136458,1.236268990814335,0.11592171672354783,-0.40594796792277876,-0.038064681466326224,-0.038064681466326224,0.16025112044435627,0.12218643897803005
erincoffel,Erin Coffel,Bandits,91,91,50,46.83773906036451,28,14,5,4,5,10,0,12,8,0,0,0,52,0.5506995892077257,0.5494505494505495,15.504457022045779,0.766714452776255,-0.28598539216797275,1.0526998449442277,0.17848916958900818,0.8742106753552196,1,71,0.15060012297287856,1,0,0.22823529411764706,0.32360682021131837,38,-0.25230766957586154,-0.5250727177659821,37,0,0,0,0.0,0.0,-0.25230766957586154,0.0,-0.016529647614532978,3.612266200187514,15.504457022045779,15.504457022045779,1.4538124697911596,0.9173145757491337,0.08601419366373346,0.07129915063545683,0.006685535271048679,0.006685535271048679,1.8769894954574233,1.8836750307284722
aliaguilar,Ali Aguilar,Talons,83,83,29,26.72280690307388,13,6,3,0,4,10,0,6,16,0,0,0,31,0.3444801512960589,0.3493975903614458,-1.8559008901179308,-0.1669034571930761,0.28368769348683803,-0.4505911506799141,-0.2126299349724194,-0.23796121570749473,0,42,-0.759366835971917,4,2,0.8864468864468864,-0.2697570196737991,15,-0.12124758125152064,-0.4065360077256869,17,0,0,0,0.0,0.0,-0.12124758125152064,0.0,-0.01507649178028832,3.2947043364347652,-1.8559008901179308,-1.8559008901179308,-0.17402298274060732,-0.9262702931649931,-0.08685394791224336,-0.39100460092531975,-0.03666348094374868,-0.03666348094374868,0.04664521282198482,0.009981731878236127
hannahflippen,Hannah Flippen,Talons,89,88,32,29.101727277033643,21,14,4,0,3,9,1,2,12,1,0,0,37,0.35383135567820023,0.36363636363636365,-1.1985894193624946,2.866304391239624,0.33859498900041957,2.527709402239205,0.7021046792518661,1.8256047229873387,0,55,0.0,0,0,0.0,-0.38734341286494234,32,0.4041218546538267,1.25490470655662,19,0,0,0,0.0,0.0,0.4041218546538267,0.0,-0.016166358655971814,3.532875734249327,-1.1985894193624946,-1.1985894193624946,-0.11238860164862569,2.866304391239624,0.26876588198323687,0.01677844178888438,0.0015732706963978954,0.0015732706963978954,0.48612994020521794,0.4877032109016159
carolinejacobsen,Caroline Jacobsen,Talons,90,90,38,36.426756048088016,29,19,6,1,3,7,0,2,9,0,0,0,41,0.43305016649687933,0.4222222222222222,5.4377957904101475,1.437192831610655,-0.5262264073934974,1.9634192390041523,-0.3240346334189723,2.2874538724231246,1,72,-0.03918205023926663,4,1,0.9581794256164005,0.0,9,0.01953894155675088,0.09769470778375439,10,0,0,0,0.0,0.0,0.01953894155675088,0.0,-0.016348003135252396,3.5725709672184203,5.4377957904101475,5.4377957904101475,0.5098879191341735,1.3980107813713885,0.1310878222933105,0.01953894155675088,0.001832115554987492,0.001832115554987492,0.9744334873640526,0.9762656029190401
briellis,Bri Ellis,Talons,65,65,24,18.665419402356722,8,7,0,0,1,11,0,5,12,0,0,0,27,0.3072448543604587,0.36923076923076925,-3.715496339299518,-0.887430203281864,0.24708282981111698,-1.134513033092981,-0.7324014643670627,-0.4021115687259182,0,34,-0.9569806229373908,2,2,0.5841269841269842,0.0,10,0.13476754177575864,0.49414765317778175,15,0,0,0,0.0,0.0,0.13476754177575864,0.0,-0.01180689115323784,2.580190142991081,-3.715496339299518,-3.715496339299518,-0.34839239464216404,-1.8444108262192547,-0.17294558943680824,0.13476754177575864,0.012636800661778148,0.012636800661778148,-0.2805073897914505,-0.2678705891296724
devynnetz,Devyn Netz,Bandits|Blaze,71,70,22,20.71307963398091,16,11,2,0,3,5,1,1,6,0,0,0,25,0.31659704496510876,0.3142857142857143,-3.389445010879654,1.2480591865103654,0.22878039797325647,1.0192787885371088,0.6050706905613744,0.41420809797573444,0,36,0.17199465738505051,1,0,0.2600732600732601,0.41148982070826723,18,-0.36237343471952194,-1.0526085484709924,18,0,0,0,0.0,0.0,-0.36237343471952194,0.0,-0.012896758028921334,2.818361540805643,-3.389445010879654,-3.389445010879654,-0.3178194125393554,1.420053843895416,0.13315474273588068,0.04911638598874529,0.00460551532504373,0.00460551532504373,0.0783964408798183,0.08300195620486203
corimcmillan,Cori McMillan,Bandits,36,36,7,6.244474922974475,6,5,1,0,0,1,0,0,9,1,0,0,8,0.18558960489851398,0.19444444444444445,-6.1511091800966735,0.6952559547195781,0.07320972735144207,0.6220462273681361,0.3369642696908826,0.2850819576772535,0,15,0.15060012297287856,1,0,0.22823529411764706,0.0,7,0.027495419767098996,0.21079821821442563,6,0,0,0,0.0,0.0,0.027495419767098996,0.0,-0.006539201254100958,1.429028386887368,-6.1511091800966735,-6.1511091800966735,-0.576773454004613,0.8458560776924566,0.07931371680087866,0.027495419767098996,0.0025781737511164056,0.0025781737511164056,-0.36407663882910685,-0.36149846507799044
delaniewisz,Delanie Wisz,Bandits,90,90,36,32.29225779968441,20,13,3,1,3,15,0,1,12,2,0,0,40,0.3838982422220792,0.4,1.303297542006535,0.9979667868021334,0.36604863675721033,0.631918150044923,0.3925398130561964,0.23937833698872663,0,51,-0.5213817003006052,1,1,0.22823529411764706,-0.20981101530184373,24,0.1155809433327274,0.26968886777636397,30,0,0,0,0.0,0.0,0.1155809433327274,0.0,-0.016348003135252396,3.5725709672184203,1.303297542006535,1.303297542006535,0.12220680903066285,0.4765850865015282,0.04468813971925849,-0.09423007196911633,-0.008835707916970564,-0.008835707916970564,0.5003526946864899,0.4915169867695194
jordanroberts,Jordan Roberts,Bandits,40,40,14,12.63643853101221,7,5,0,0,2,6,0,1,12,0,0,0,16,0.3380063971591757,0.35,-1.1364326946223977,0.995996257288319,0.14641945470288414,0.8495768025854348,0.45271683561446285,0.3968599669709719,0,22,0.4071297535072558,3,0,0.6182299541890335,0.0,8,-0.02394043314334994,-0.13034235822490522,9,18,8,26,0.3076923076923077,0.4785459431483141,0.4546055100049642,0.0,-0.007265779171223286,1.5878093187637423,-1.1364326946223977,-1.1364326946223977,-0.1065603277929182,1.4031260107955748,0.13156746400615155,0.4546055100049642,0.04262717219579102,0.04262717219579102,0.1732105788517083,0.2158377510474993
allyshipmanshrout,Ally Shipman-Shrout,Blaze|Talons,19,19,5,6.176458678517531,5,3,0,0,2,0,0,0,3,0,0,0,6,0.3478132811592387,0.2631578947368421,-0.365655153658908,0.005465736658132901,0.054907295513581554,-0.04944155885544865,-0.1467571433472708,0.09731558449182214,0,5,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,-0.003451245106331061,0.7542094264127777,-0.365655153658908,-0.365655153658908,-0.034286529433236505,0.005465736658132901,0.0005125078613775147,0.0,0.0,0.0,0.03662261368141661,0.03662261368141661
sierrasaccoferrie,Sierra Sacco-Ferrie,Talons,82,82,32,29.448894212933673,21,15,3,0,3,11,0,0,8,1,0,0,34,0.38425131431272247,0.3902439024390244,1.2145082003827223,-0.3543301563285628,0.3111413412436288,-0.6654714975721916,0.4826083665810992,-1.1480798641532908,0,58,0.19349151180478832,1,0,0.2920634920634921,0.0,27,0.3872228267976871,0.8058420990114029,37,0,0,0,0.0,0.0,0.3872228267976871,0.0,-0.014894847301007737,3.255009103465672,1.2145082003827223,1.2145082003827223,0.11388126419837992,-0.16083864452377447,-0.015081419923347801,0.3872228267976871,0.036308873853873276,0.036308873853873276,0.4026169016839058,0.438925775537779
sydneymckinney,Sydney McKinney,Bandits,85,85,39,37.378465024520104,37,31,3,0,3,2,0,0,12,1,0,0,45,0.4705033924484407,0.4588235294117647,8.111113670046564,-4.613686357971287,-0.6723851734417543,-3.9413011845295327,-0.3731465581280209,-3.568154626401512,2,89,0.5120155774118254,3,0,0.7743142711630107,0.0,35,0.05165563718408265,0.1377483658242204,24,0,0,0,0.0,0.0,0.05165563718408265,0.0,-0.015439780738849484,3.3740948023729525,8.111113670046564,8.111113670046564,0.760557959600916,-4.101670780559461,-0.3846029641203501,0.05165563718408265,0.004843614282425112,0.004843614282425112,0.690887311087325,0.6957309253697502
belladayton,Bella Dayton,Bandits,84,84,33,29.071708850627527,26,21,5,0,0,7,0,0,15,0,0,0,36,0.3702981110180172,0.39285714285714285,0.14867927679484727,-0.06880298741989432,-1.6807017748045263,1.611898787384632,0.8225875279656505,0.7893112594189815,3,65,0.2406074958049496,2,0,0.3663003663003663,0.0,20,1.256267385556699,3.0509350792091263,28,0,0,0,0.0,0.0,1.256267385556699,0.0,-0.015258136259568901,3.334399569403859,0.14867927679484727,0.14867927679484727,0.013941267746205768,0.1718045083850553,0.01610966035775282,1.256267385556699,0.11779691400462092,0.11779691400462092,0.34127815764475594,0.4590750716493769
jadelynallchin,Jadelyn Allchin,Talons,61,61,28,25.70179702624774,19,15,1,0,3,6,0,3,3,0,0,0,31,0.45081034823859817,0.45901639344262296,4.698168407154959,-0.2505007591118528,0.28368769348683803,-0.5341884525986909,-0.13175751439996458,-0.4024309381987263,0,46,0.0,0,0,0.0,0.0,15,0.06513442305474329,0.20987758539861728,17,0,0,0,0.0,0.0,0.06513442305474329,0.0,-0.011080313236115512,2.421409211114707,4.698168407154959,4.698168407154959,0.44053498976383454,-0.2505007591118528,-0.02348880239863506,0.06513442305474329,0.006107484855160959,0.006107484855160959,0.6430564373888736,0.6491639222440346
amandalorenz,Amanda Lorenz,Volts,92,90,38,35.202234599399645,24,14,5,0,5,14,2,0,7,1,0,0,43,0.4184927566486496,0.4222222222222222,4.213274341721778,-4.170849237209621,-0.6906876052796148,-3.4801616319300064,-2.572765464157988,-0.9073961677720186,2,66,0.624828393328415,4,0,0.9463169325701295,-0.20083261599838648,17,-0.5790970983082713,-1.632000913414219,22,0,0,0,0.0,0.0,-0.5790970983082713,0.0,-0.01671129209381356,3.6519614331566075,4.213274341721778,4.213274341721778,0.3950677387758039,-3.546020843881206,-0.33250111975179925,-0.7799297143066577,-0.07313197376776395,-0.07313197376776395,0.403434537092497,0.33030256332473307
