player,teams,arm_opportunities,arm_runs_unshrunk,pitcher_arm_opportunities,pitcher_arm_runs_unshrunk,non_pitcher_arm_opportunities,non_pitcher_arm_runs_unshrunk,arm_runs_opposing_raw,attributed_runner_runs,arm_runs,pitcher_arm_runs,non_pitcher_arm_runs,player_key
Sam Landry,Portland Cascade,5,0.5118951281689348,5,0.5118951281689348,0,0.0,0.4549357942397022,-0.4549357942397022,0.05687723646321497,0.05687723646321497,0.0,samlandry
Ana Gold,Carolina Blaze,8,0.7037041394656463,0,0.0,8,0.7037041394656463,0.612569205178874,-0.612569205178874,0.11728402324427437,0.0,0.11728402324427437,anagold
Devyn Netz,Carolina Blaze,16,-2.266017823915443,1,0.010997912492024075,15,-2.277015736407468,-2.4482876924889876,2.4482876924889876,-0.6474336639758409,0.0031422607120068784,-0.650575924687848,devynnetz
Korbe Otis,Portland Cascade,55,-3.3579050569938036,0,0.0,55,-3.3579050569938036,-3.984457730215362,3.984457730215362,-1.9440502961543074,0.0,-1.9440502961543074,korbeotis
Sierra Sacco-Ferrie,Portland Cascade,20,-0.3035571195606501,0,0.0,20,-0.3035571195606501,-0.5313944552775807,0.5313944552775807,-0.1011857065202167,0.0,-0.1011857065202167,sierrasaccoferrie
McKenzie Clark,Carolina Blaze,47,-7.169797998864019,0,0.0,47,-7.169797998864019,-7.705215737798804,7.705215737798804,-3.8733391488115965,0.0,-3.8733391488115965,mckenzieclark
Kendra Falby,Portland Cascade,71,-1.6338277346143597,0,0.0,71,-1.6338277346143597,-2.4426502764094624,2.4426502764094624,-1.045060983401978,0.0,-1.045060983401978,kendrafalby
Kennedy Powell,Portland Cascade,12,-0.1992167676499445,0,0.0,12,-0.1992167676499445,-0.33591916908010283,0.33591916908010283,-0.04597310022691027,0.0,-0.04597310022691027,kennedypowell
Payton Gottshall,Portland Cascade,4,0.7102239870443866,4,0.7102239870443866,0,0.0,0.6646565199010006,-0.6646565199010006,0.06456581700403514,0.06456581700403514,0.0,paytongottshall
Ali Newland,Portland Cascade,5,-0.2341525855842307,0,0.0,5,-0.2341525855842307,-0.2911119195134633,0.2911119195134633,-0.026016953953803407,0.0,-0.026016953953803407,alinewland
Aleshia Ocasio,Carolina Blaze,21,0.9412972873212967,0,0.0,21,0.9412972873212967,0.7020680848185195,-0.7020680848185195,0.32405316448765953,0.0,0.32405316448765953,aleshiaocasio
Tori Vidales,Portland Cascade,20,1.715507640241224,0,0.0,20,1.715507640241224,1.4876703045242936,-1.4876703045242936,0.571835880080408,0.0,0.571835880080408,torividales
Kenleigh Cahalan,Portland Cascade,14,0.5030719143587027,0,0.0,14,0.5030719143587027,0.3435857793568514,-0.3435857793568514,0.13042605187077477,0.0,0.13042605187077477,kenleighcahalan
Alyssa Brito,Carolina Blaze,18,1.2639839691923371,0,0.0,18,1.2639839691923371,1.0589303670471,-1.0589303670471,0.3922708869907253,0.0,0.3922708869907253,alyssabrito
Ailana Agbayani,Chicago Bandits,13,-0.5353736948353449,0,0.0,13,-0.5353736948353449,-0.6834679630513497,0.6834679630513497,-0.13131807609168838,0.0,-0.13131807609168838,ailanaagbayani
Bubba Nickles-Camarena,Oklahoma City Spark,71,2.826119158763523,0,0.0,71,2.826119158763523,2.0172966169684203,-2.0172966169684203,1.8076978402901815,0.0,1.8076978402901815,bubbanicklescamarena
Sydney McKinney,Oklahoma City Spark,25,-1.361014503771277,0,0.0,25,-1.361014503771277,-1.6458111734174399,1.6458111734174399,-0.5234671168351066,0.0,-0.5234671168351066,sydneymckinney
Grace Jenkins,Oklahoma City Spark,33,1.76146748542119,0,0.0,33,1.76146748542119,1.3855358814882546,-1.3855358814882546,0.7962798221767023,0.0,0.7962798221767023,gracejenkins
